coin,date_added,max_supply,circulating_supply,total_supply,market_cap,Volume24h,price
BTC,2013-04-28T00:00:00.000Z,21000000.0,18696025.0,18696025.0,1082286615654.9609,50329787357.42647,57888.59480317131
ETH,2015-08-07T00:00:00.000Z,,115694482.6865,115694482.6865,332849624884.2411,29537093684.67868,2876.9705966547376
BNB,2017-07-25T00:00:00.000Z,170532785.0,153432897.0,169432897.0,95749570873.00586,4862439556.586468,624.0485107506369
XRP,2013-08-04T00:00:00.000Z,100000000000.0,45404028640.0,99990831162.0,70984454439.9613,9704062799.86362,1.56339550842027
USDT,2015-02-25T00:00:00.000Z,,51501107179.55168,53406291004.32977,51500085328.79006,96476352475.53314,0.9999801586642
DOGE,2013-12-15T00:00:00.000Z,,129419750181.20844,129419750181.20844,46773363285.218544,8913377762.361317,0.36140823343986
ADA,2017-10-01T00:00:00.000Z,45000000000.0,31948309440.7478,45000000000.0,42644653773.7992,2326866117.7079973,1.33480157542887
DOT,2020-08-19T00:00:00.000Z,,934191363.0453334,1069715477.8995212,34269324646.49919,1702895753.3631217,36.6834098474064
UNI,2020-09-17T00:00:00.000Z,1000000000.0,523384243.63046914,1000000000.0,21019210504.730656,950301273.4414928,40.16018968956789
BCH,2017-07-23T00:00:00.000Z,21000000.0,18724218.75,18724218.75,18706870983.51645,4025865982.817287,999.0735118663601
LTC,2013-04-28T00:00:00.000Z,84000000.0,66752414.51538747,66752414.51538747,18121720992.718323,3787284248.532859,271.47663682698675
LINK,2017-09-20T00:00:00.000Z,1000000000.0,419009556.43444455,1000000000.0,16319390816.980547,1371991038.3604221,38.94753846630648
USDC,2018-10-08T00:00:00.000Z,,14380157844.055141,14380157844.055141,14378594159.071629,1967206977.99938,0.99989126093048
VET,2017-08-22T00:00:00.000Z,86712634466.0,64315576989.0,86712634466.0,12761138343.093727,1660628975.5352857,0.19841442680793
SOL,2020-04-10T00:00:00.000Z,,272492704.43947977,494308317.92168725,12105136290.874508,529435107.78076917,44.42370784118751
XLM,2014-08-05T00:00:00.000Z,50001806812.0,22975994132.287457,50001803233.60836,11973564019.773842,1136316473.0900173,0.52113366459072
THETA,2018-01-17T00:00:00.000Z,1000000000.0,1000000000.0,1000000000.0,11483881179.24814,338645758.1322267,11.48388117924814
FIL,2017-12-13T00:00:00.000Z,2000000000.0,69096083.0,69096083.0,11350249942.122158,1382736135.6971161,164.2676321047339
WBTC,2019-01-30T00:00:00.000Z,,162569.91863586,162569.91863586,9372046090.436409,216024991.0747439,57649.32509703
TRX,2017-09-13T00:00:00.000Z,,71659657369.49,100850743811.662,9297675509.190815,2261852793.7763267,0.12974769696777
XMR,2014-05-21T00:00:00.000Z,,17899468.25429172,17899468.25429172,7592766182.5055275,625617837.558229,424.1894828738851
BUSD,2019-09-20T00:00:00.000Z,,6976260603.69,6976260603.69,6975185943.471454,6043356669.509396,0.99984595469126
NEO,2016-09-08T00:00:00.000Z,100000000.0,70538831.0,100000000.0,6860524494.289334,1271171450.7195535,97.25883456006429
